index,timestep,sample
231,0.7687688,-94.44668
232,0.7677678,-93.27934
233,0.7667668,-93.599174
234,0.7657658,-95.21633
235,0.7647648,-94.94691
236,0.7637638,-92.12701
237,0.7627628,-94.95392
238,0.7617618,-91.765755
239,0.7607608,-88.92883
240,0.7597598,-90.699486
241,0.7587588,-94.33671
242,0.7577578,-91.933266
243,0.7567568,-92.28516
244,0.7557558,-94.16633
245,0.7547548,-91.0938
246,0.7537538,-87.56321
247,0.7527528,-86.736626
248,0.7517518,-84.11544
249,0.7507508,-85.413765
250,0.7497498,-84.308075
251,0.7487488,-83.35817
252,0.7477478,-83.328415
253,0.7467468,-81.60907
254,0.7457458,-82.94819
255,0.7447448,-84.80078
256,0.7437438,-86.396736
257,0.7427427,-86.92389
258,0.7417417,-90.19208
259,0.7407407,-92.17273
260,0.7397397,-90.764
261,0.7387387,-90.043335
262,0.7377377,-86.37593
263,0.7367367,-87.43514
264,0.7357357,-88.52024
265,0.7347347,-90.31152
266,0.7337337,-89.92742
267,0.7327327,-87.44822
268,0.7317317,-88.97236
269,0.7307307,-89.10407
270,0.7297297,-89.66065
271,0.7287287,-91.16601
272,0.7277277,-90.10664
273,0.7267267,-88.21902
274,0.7257257,-88.00103
275,0.7247247,-87.60586
276,0.7237237,-90.47949
277,0.7227227,-89.84318
278,0.7217217,-90.61699
279,0.7207207,-89.767044
280,0.7197197,-89.66095
281,0.7187187,-89.62759
282,0.7177177,-92.721924
283,0.7167167,-86.031395
284,0.7157157,-83.84542
285,0.7147147,-82.27927
286,0.7137137,-78.45064
287,0.7127127,-78.04772
288,0.7117117,-78.82168
289,0.7107107,-83.02314
290,0.7097097,-79.743355
291,0.7087087,-77.988205
292,0.7077077,-76.17054
293,0.7067067,-78.00551
294,0.7057057,-77.45473
295,0.7047047,-77.792755
296,0.7037037,-81.804405
297,0.7027027,-81.19325
298,0.7017017,-80.10504
299,0.7007007,-79.71443
300,0.6996997,-80.594666
301,0.6986987,-79.535545
302,0.6976977,-83.54258
303,0.6966967,-82.37588
304,0.6956957,-81.71669
305,0.6946947,-81.68536
306,0.6936937,-83.44931
307,0.6926927,-82.59626
308,0.6916917,-80.03366
309,0.6906907,-79.80151
310,0.6896897,-80.55813
311,0.6886887,-81.88282
312,0.6876877,-84.51279
313,0.6866867,-80.295204
314,0.6856857,-79.5448
315,0.6846847,-79.03668
316,0.6836837,-77.70929
317,0.6826827,-80.842896
318,0.6816817,-78.75984
319,0.6806807,-75.98166
320,0.6796797,-73.43414
321,0.6786787,-73.33415
322,0.6776777,-77.29292
323,0.6766767,-75.47681
324,0.6756757,-78.760925
325,0.6746747,-81.279755
326,0.6736737,-81.88556
327,0.6726727,-82.53876
328,0.6716717,-81.81237
329,0.6706707,-82.997826
330,0.6696697,-81.93414
331,0.6686687,-84.282425
332,0.6676677,-86.39536
333,0.6666667,-85.7177
334,0.6656657,-85.12136
335,0.6646647,-83.65784
336,0.6636637,-81.247574
337,0.6626627,-85.0223
338,0.6616617,-87.621765
339,0.6606607,-88.14449
340,0.6596597,-86.53106
341,0.6586587,-89.283745
342,0.6576577,-91.17837
343,0.6566567,-89.395294
344,0.6556557,-94.43334
345,0.6546547,-94.00681
346,0.6536537,-92.42562
347,0.6526527,-91.91994
348,0.6516517,-92.05011
349,0.6506507,-93.800026
350,0.6496497,-96.34761
351,0.6486487,-96.38592
352,0.6476477,-96.071915
353,0.6466467,-93.42087
354,0.6456457,-91.999115
355,0.6446447,-92.83445
356,0.6436437,-86.717606
357,0.6426427,-83.072235
358,0.6416417,-81.85772
359,0.6406406,-80.18162
360,0.6396396,-80.36757
361,0.6386386,-74.94284
362,0.6376376,-75.2559
363,0.6366366,-73.3234
364,0.6356356,-73.69666
365,0.6346346,-77.19612
366,0.6336336,-76.82832
367,0.6326326,-79.12793
368,0.6316316,-81.186844
369,0.6306306,-80.45809
370,0.6296296,-78.87011
371,0.6286286,-75.09672
372,0.6276276,-74.904175
373,0.6266266,-74.459496
374,0.6256256,-73.54392
375,0.6246246,-69.62184
376,0.6236236,-68.96342
377,0.6226226,-68.80437
378,0.6216216,-65.18582
379,0.6206206,-63.427475
380,0.6196196,-64.13505
381,0.6186186,-64.85301
382,0.6176176,-66.04815
383,0.6166166,-66.01862
384,0.6156156,-64.2193
385,0.6146146,-65.0198
386,0.6136136,-63.62962
387,0.6126126,-62.695755
388,0.6116116,-59.445812
389,0.6106106,-58.723656
390,0.6096096,-62.176918
391,0.6086086,-62.710598
392,0.6076076,-61.854763
393,0.6066066,-61.98837
394,0.6056056,-63.213036
395,0.6046046,-61.473648
396,0.6036036,-61.891434
397,0.6026026,-59.94622
398,0.6016016,-58.874374
399,0.6006006,-56.12608
400,0.5995996,-53.915436
401,0.5985986,-54.311996
402,0.5975976,-53.70968
403,0.5965966,-54.753296
404,0.5955956,-53.486298
405,0.5945946,-54.20159
406,0.5935936,-55.958885
407,0.5925926,-52.395992
408,0.5915916,-49.6751
409,0.5905906,-51.726532
410,0.5895896,-52.748383
411,0.5885886,-50.902378
412,0.5875876,-53.625793
413,0.5865866,-51.01745
414,0.5855856,-51.667675
415,0.5845846,-51.840225
416,0.5835836,-52.310123
417,0.5825826,-53.67774
418,0.5815816,-53.509007
419,0.5805806,-52.10468
420,0.5795796,-49.882534
421,0.5785786,-50.434917
422,0.5775776,-52.80963
423,0.5765766,-54.084236
424,0.5755756,-55.803
425,0.5745746,-55.99178
426,0.5735736,-56.386787
427,0.5725726,-56.20944
428,0.5715716,-55.322628
429,0.5705706,-54.489143
430,0.5695696,-57.10398
431,0.5685686,-58.153763
432,0.5675676,-56.36245
433,0.5665666,-57.783447
434,0.5655656,-57.055252
435,0.5645646,-57.064426
436,0.5635636,-54.494236
437,0.5625626,-56.76913
438,0.5615616,-58.124874
439,0.5605606,-59.206135
440,0.5595596,-59.3758
441,0.5585586,-58.044476
442,0.5575576,-56.98448
443,0.5565566,-55.780933
444,0.5555556,-54.241604
445,0.5545546,-56.086033
446,0.5535536,-54.123604
447,0.5525526,-53.738422
448,0.5515516,-54.584076
449,0.5505506,-52.7293
450,0.5495496,-55.56782
451,0.5485486,-55.8562
452,0.5475476,-54.986492
453,0.5465466,-54.421417
454,0.5455456,-53.3587
455,0.5445446,-50.999756
456,0.5435436,-50.699257
457,0.5425426,-49.031757
458,0.5415416,-47.574776
459,0.5405406,-47.794167
460,0.5395396,-45.12425
461,0.5385385,-44.230045
462,0.5375375,-47.709698
463,0.5365365,-48.740795
464,0.5355355,-49.65823
465,0.5345345,-51.81876
466,0.5335335,-48.44724
467,0.5325325,-47.0505
468,0.5315315,-46.923855
469,0.5305305,-42.550667
470,0.5295295,-40.554665
471,0.5285285,-42.188095
472,0.5275275,-43.75281
473,0.5265265,-44.701427
474,0.5255255,-45.390255
475,0.5245245,-45.33096
476,0.5235235,-47.331886
477,0.5225225,-47.1513
478,0.5215215,-50.07303
479,0.5205205,-48.841827
480,0.5195195,-47.562027
481,0.5185185,-46.74506
482,0.5175175,-44.728493
483,0.5165165,-44.850937
484,0.5155155,-44.30301
485,0.5145145,-44.549843
486,0.5135135,-43.34081
487,0.5125125,-42.475285
488,0.5115115,-45.641655
489,0.5105105,-43.33088
490,0.5095095,-45.048424
491,0.5085085,-43.89535
492,0.5075075,-42.36986
493,0.5065065,-42.622692
494,0.5055055,-41.93461
495,0.5045045,-42.85672
496,0.5035035,-43.96366
497,0.5025025,-40.76863
498,0.5015015,-40.525475
499,0.5005005,-38.905518
500,0.4994995,-38.033066
501,0.4984985,-39.417194
502,0.4974975,-38.755455
503,0.4964965,-39.60656
504,0.4954955,-37.762028
505,0.4944945,-38.688904
506,0.4934935,-38.512096
507,0.4924925,-38.97622
508,0.4914915,-38.32844
509,0.4904905,-37.51425
510,0.4894895,-37.327076
511,0.4884885,-36.907043
512,0.4874875,-33.873096
513,0.48648646,-34.047237
514,0.48548546,-34.979767
515,0.48448446,-38.20218
516,0.48348346,-40.218132
517,0.48248246,-40.20219
518,0.48148146,-39.131084
519,0.48048046,-39.857475
520,0.47947946,-38.635754
521,0.47847846,-38.059486
522,0.47747746,-36.9385
523,0.47647646,-36.06593
524,0.47547546,-36.996296
525,0.47447446,-37.85985
526,0.47347346,-38.791454
527,0.47247246,-37.687847
528,0.47147146,-36.653946
529,0.47047046,-37.337482
530,0.46946946,-35.441917
531,0.46846846,-35.327393
532,0.46746746,-37.064594
533,0.46646646,-38.524998
534,0.46546546,-36.3134
535,0.46446446,-32.30788
536,0.46346346,-33.101395
537,0.46246246,-31.50689
538,0.46146145,-29.347406
539,0.46046045,-29.753813
540,0.45945945,-30.61321
541,0.45845845,-31.234379
542,0.45745745,-33.677948
543,0.45645645,-33.548172
544,0.45545545,-34.388763
545,0.45445445,-34.025723
546,0.45345345,-32.23102
547,0.45245245,-32.46389
548,0.45145145,-29.323092
549,0.45045045,-27.687517
550,0.44944945,-27.675896
551,0.44844845,-28.095638
552,0.44744745,-29.000284
553,0.44644645,-28.174397
554,0.44544545,-29.418995
555,0.44444445,-26.612078
556,0.44344345,-26.526278
557,0.44244245,-27.111609
558,0.44144145,-26.698994
559,0.44044045,-27.05487
560,0.43943945,-28.660995
561,0.43843845,-29.994884
562,0.43743744,-28.099949
563,0.43643644,-26.502602
564,0.4354354,-25.88477
565,0.4344344,-27.766623
566,0.4334334,-30.484379
567,0.4324324,-32.155384
568,0.4314314,-32.46482
569,0.4304304,-32.210445
570,0.4294294,-31.133146
571,0.4284284,-31.31029
572,0.4274274,-32.49247
573,0.4264264,-29.77489
574,0.4254254,-30.874939
575,0.4244244,-32.820976
576,0.4234234,-29.742453
577,0.4224224,-29.676128
578,0.4214214,-31.014181
579,0.4204204,-29.958454
580,0.4194194,-30.289783
581,0.4184184,-27.372833
582,0.4174174,-24.3043
583,0.4164164,-26.079266
584,0.4154154,-29.29954
585,0.4144144,-30.19868
586,0.4134134,-29.708883
587,0.4124124,-29.752413
588,0.4114114,-29.970184
589,0.4104104,-30.125578
590,0.4094094,-32.006775
591,0.4084084,-32.60527
592,0.4074074,-33.02721
593,0.4064064,-30.782833
594,0.4054054,-33.084557
595,0.4044044,-33.262375
596,0.4034034,-33.260384
597,0.4024024,-30.47709
598,0.4014014,-29.240248
599,0.4004004,-27.294825
600,0.3993994,-29.05707
601,0.3983984,-30.548737
602,0.3973974,-29.821623
603,0.3963964,-31.267078
604,0.3953954,-33.128895
605,0.3943944,-30.294018
606,0.3933934,-33.1799
607,0.3923924,-33.539658
608,0.3913914,-35.116108
609,0.3903904,-37.020763
610,0.3893894,-36.123116
611,0.3883884,-35.953415
612,0.3873874,-35.803165
613,0.3863864,-34.05931
614,0.3853854,-30.06987
615,0.3843844,-28.41258
