id,prior_position,prior_time,prior:smax_gaussian,prior:convolved_data,prior:estimated_data,integrand:TotalIntegrand,integrand:FlowIntegrand
0,-52.121826171875,1.0,-5.44464635848999,-5.433667182922363,-5.444579601287842,1.4561359,1.4561359
1,11.13021183013916,1.0,-5.180074691772461,-5.188750267028809,-5.179928779602051,1.4565926,1.4565926
2,76.4075927734375,1.0,-5.763160228729248,-5.768260955810547,-5.76318883895874,1.3255194,1.3255194
3,-21.81935691833496,1.0,-5.2160139083862305,-5.215149402618408,-5.215878486633301,-0.12288095,-0.12288095
4,-119.10786437988281,1.0,-6.615054607391357,-6.606553077697754,-6.615338325500488,1.8748461,1.8748462
5,83.37716674804688,1.0,-5.876796245574951,-5.879513263702393,-5.876858711242676,1.4217553,1.4217553
6,16.584409713745117,1.0,-5.195499420166016,-5.205195903778076,-5.195357799530029,1.3916271,1.3916271
7,-18.4410343170166,1.0,-5.20213508605957,-5.202424049377441,-5.201995372772217,-0.2783214,-0.2783214
8,-60.05765914916992,1.0,-5.535487174987793,-5.522371292114258,-5.535447597503662,1.5918403,1.5918401
9,86.6308822631836,1.0,-5.93324089050293,-5.934741497039795,-5.93332052230835,1.4607683,1.4607685
10,56.08748245239258,1.0,-5.488434314727783,-5.49845552444458,-5.4883809089660645,0.9354923,0.9354923
11,-40.894283294677734,1.0,-5.338080883026123,-5.330634593963623,-5.337982177734375,1.2121197,1.2121197
12,-42.0610237121582,1.0,-5.347957134246826,-5.340123653411865,-5.347861289978027,1.2392684,1.2392684
13,77.43302917480469,1.0,-5.779257774353027,-5.784028053283691,-5.779291152954102,1.3407303,1.3407303
14,-59.89024353027344,1.0,-5.533437728881836,-5.520362854003906,-5.533397674560547,1.5893503,1.5893503
15,25.936927795410156,1.0,-5.236079216003418,-5.247020244598389,-5.235949993133545,1.1034585,1.1034585
16,46.8337287902832,1.0,-5.391249656677246,-5.402385711669922,-5.391167163848877,0.49742046,0.49742046
17,-56.19015884399414,1.0,-5.48961067199707,-5.477489471435547,-5.489557266235352,1.5302709,1.5302709
18,10.545289993286133,1.0,-5.178781032562256,-5.1873345375061035,-5.1786346435546875,1.4601737,1.4601737
19,62.36882781982422,1.0,-5.564359188079834,-5.573209285736084,-5.564328670501709,1.0821377,1.0821377
20,-160.3609161376953,1.0,-7.791477203369141,-7.822380065917969,-7.792113304138184,1.8711251,1.8711252
21,-29.85628318786621,1.0,-5.258392810821533,-5.254734992980957,-5.258270263671875,0.83927625,0.83927625
22,32.25423812866211,1.0,-5.273590564727783,-5.284980297088623,-5.273472309112549,0.5723895,0.5723894
23,-47.50343322753906,1.0,-5.397696495056152,-5.3881120681762695,-5.397615909576416,1.3611709,1.3611709
24,-8.108319282531738,1.0,-5.174142360687256,-5.177788257598877,-5.173994541168213,1.0059197,1.0059197
25,-24.23900604248047,1.0,-5.227385520935059,-5.225685119628906,-5.2272539138793945,0.27157554,0.27157554
26,5.742575168609619,1.0,-5.1707987785339355,-5.178271770477295,-5.170650005340576,1.4617649,1.4617649
27,5.230238437652588,1.0,-5.170225143432617,-5.177574634552002,-5.170076370239258,1.458651,1.458651
28,-82.82170867919922,1.0,-5.867376327514648,-5.850857734680176,-5.867435932159424,1.8064475,1.8064475
29,166.2867889404297,1.0,-7.988994598388672,-7.95772647857666,-7.989689826965332,1.6527044,1.6527042
