id,prior_position,prior_time,prior:smax_gaussian,prior:convolved_data,prior:estimated_data,integrand:TotalIntegrand,integrand:FlowIntegrand
0,11.102700233459473,1.0,-5.180012226104736,-5.188681602478027,-5.179866313934326,1.076441,0.33461836
1,-66.03112030029297,1.0,-5.612342834472656,-5.597891807556152,-5.612326145172119,1.8087894,1.4401023
2,-63.56118392944336,1.0,-5.579680919647217,-5.5657501220703125,-5.579654693603516,1.1775346,0.81780946
3,-13.605417251586914,1.0,-5.186322212219238,-5.188220977783203,-5.186178207397461,-0.15498717,0.07813347
4,-59.51470184326172,1.0,-5.528862476348877,-5.515880107879639,-5.528820991516113,0.7467161,1.6210502
5,37.45692825317383,1.0,-5.310599327087402,-5.322108268737793,-5.310492515563965,0.8627194,1.0407166
6,16.35292625427246,1.0,-5.194721221923828,-5.204379081726074,-5.194579601287842,1.3024793,0.98853856
7,-109.41365814208984,1.0,-6.388999938964844,-6.376308917999268,-6.38921594619751,0.99400514,0.8908227
8,-30.138376235961914,1.0,-5.260119438171387,-5.256363868713379,-5.259997844696045,1.3373653,1.9190905
9,26.474267959594727,1.0,-5.23895263671875,-5.249944686889648,-5.238824367523193,0.7587457,1.1730535
10,32.10215759277344,1.0,-5.272591590881348,-5.283974647521973,-5.272473335266113,0.7149353,0.67244697
11,-62.528602600097656,1.0,-5.5663957595825195,-5.552695274353027,-5.5663652420043945,1.453598,1.266824
12,-92.75762939453125,1.0,-6.045390605926514,-6.029130458831787,-6.045503616333008,1.942604,1.493768
13,139.11936950683594,1.0,-7.142352104187012,-7.120189666748047,-7.142793655395508,2.692053,1.1352016
14,-8.104546546936035,1.0,-5.174136161804199,-5.177783012390137,-5.173988342285156,1.3014435,0.6759308
15,-74.56493377685547,1.0,-5.734773635864258,-5.718924045562744,-5.734793663024902,1.5825315,1.2116253
16,39.23932647705078,1.0,-5.324548721313477,-5.336045265197754,-5.324445724487305,0.34927034,1.0938425
17,-1.2235463857650757,1.0,-5.167586326599121,-5.173253059387207,-5.167436599731445,1.2741762,1.4333773
18,-22.837759017944336,1.0,-5.220654487609863,-5.219438552856445,-5.220520496368408,1.2155077,1.2656924
19,0.6198585033416748,1.0,-5.167472839355469,-5.173642635345459,-5.167323112487793,0.684818,1.0830511
20,2.4707629680633545,1.0,-5.168056488037109,-5.174714088439941,-5.167907238006592,-0.75373036,1.7589595
21,56.10966110229492,1.0,-5.4886884689331055,-5.498705863952637,-5.4886345863342285,0.9760535,0.35432076
22,14.833420753479004,1.0,-5.18988561630249,-5.199277400970459,-5.1897430419921875,0.5552026,1.3033925
23,-79.03240203857422,1.0,-5.804792881011963,-5.788490295410156,-5.804834365844727,1.9049052,1.8028048
24,57.7760124206543,1.0,-5.508052825927734,-5.517791748046875,-5.508005142211914,1.3241307,1.2743188
25,-41.930030822753906,1.0,-5.346834659576416,-5.339044094085693,-5.346738338470459,0.38116232,0.8630958
26,-61.616329193115234,1.0,-5.554839134216309,-5.5413498878479,-5.554805278778076,1.6968673,0.96755564
27,30.489744186401367,1.0,-5.262293338775635,-5.273591041564941,-5.262172222137451,1.3253732,0.7756749
28,-132.7034912109375,1.0,-6.964394569396973,-6.964776039123535,-6.964783191680908,2.9013114,1.4123299
29,83.45267486572266,1.0,-5.878081798553467,-5.880771160125732,-5.87814474105835,-0.42103428,1.4167365
30,-39.030914306640625,1.0,-5.3228840827941895,-5.316063404083252,-5.322780609130859,-0.13114542,0.25369197
31,-106.2796859741211,1.0,-6.3200225830078125,-6.306326866149902,-6.320218086242676,1.7595047,0.77710986
32,-53.87165451049805,1.0,-5.463572025299072,-5.452090740203857,-5.463510990142822,0.41198838,1.2841127
33,-100.49722290039062,1.0,-6.198014259338379,-6.182883262634277,-6.198173522949219,1.0007739,0.25961247
34,-108.79072570800781,1.0,-6.375129699707031,-6.3622260093688965,-6.375341892242432,2.128312,0.8263045
35,-72.58088684082031,1.0,-5.704983234405518,-5.689399719238281,-5.7049946784973145,-0.3837314,1.4165736
36,18.76017189025879,1.0,-5.203346252441406,-5.2133917808532715,-5.203207492828369,-0.027005479,0.2946459
37,-12.286016464233398,1.0,-5.182836532592773,-5.185163974761963,-5.1826910972595215,1.0498178,0.43675017
38,-4.701407432556152,1.0,-5.169689178466797,-5.174361228942871,-5.169539928436279,0.7019471,1.1338887
39,55.66792297363281,1.0,-5.483649730682373,-5.49373722076416,-5.48359489440918,1.7782047,1.350524
40,-94.26377868652344,1.0,-6.07413387298584,-6.05802583694458,-6.074255466461182,2.1094499,1.6359316
41,157.15330505371094,1.0,-7.687552452087402,-7.65867280960083,-7.688157558441162,3.8510163,1.1564732
42,30.602375030517578,1.0,-5.262995719909668,-5.2743000984191895,-5.262874603271484,-0.22268347,1.1836237
43,-0.9398069381713867,1.0,-5.1675238609313965,-5.173269271850586,-5.167374134063721,-1.0927805,-0.46404853
44,16.656625747680664,1.0,-5.195744037628174,-5.205452919006348,-5.195602893829346,1.3427725,1.8052559
45,10.19643497467041,1.0,-5.178042411804199,-5.186522960662842,-5.177896022796631,0.90912783,1.0310757
46,-28.426193237304688,1.0,-5.249887466430664,-5.246728897094727,-5.249762535095215,0.36845315,1.2547425
47,-67.1073226928711,1.0,-5.6269636154174805,-5.612301349639893,-5.626951694488525,1.6897311,1.7143612
48,26.983753204345703,1.0,-5.241732120513916,-5.25277042388916,-5.241604328155518,0.6760172,1.3317384
49,-26.266759872436523,1.0,-5.237835884094238,-5.2354302406311035,-5.237707614898682,1.3364371,1.0299481
50,58.15353775024414,1.0,-5.512518882751465,-5.522191047668457,-5.512472629547119,-1.5125953,1.582241
51,38.957664489746094,1.0,-5.322300910949707,-5.33380126953125,-5.322197914123535,1.5685623,1.3949184
52,16.045101165771484,1.0,-5.193703651428223,-5.203308582305908,-5.193562030792236,-0.5303558,1.6873037
53,16.18524169921875,1.0,-5.194164752960205,-5.203793525695801,-5.1940226554870605,1.2437949,1.4616106
54,-20.781219482421875,1.0,-5.211501121520996,-5.210992813110352,-5.211364269256592,0.93283623,0.31062847
55,-1.7616771459579468,1.0,-5.167750358581543,-5.173266887664795,-5.167600631713867,0.6698976,1.5234196
56,29.752243041992188,1.0,-5.257760047912598,-5.269011497497559,-5.257637023925781,0.2802281,0.61124927
57,-109.58174133300781,1.0,-6.39275598526001,-6.380123615264893,-6.39297342300415,2.5604265,0.96731263
58,101.64409637451172,1.0,-6.221670627593994,-6.216872215270996,-6.221837043762207,1.2819675,1.4942013
59,-93.3919448852539,1.0,-6.05743932723999,-6.041239261627197,-6.05755615234375,2.1037893,1.2735425
60,-77.11166381835938,1.0,-5.7741899490356445,-5.758056163787842,-5.774221897125244,1.4405419,1.5224222
61,-31.649526596069336,1.0,-5.269647121429443,-5.265365123748779,-5.269528388977051,0.9956535,0.37686828
62,12.134538650512695,1.0,-5.182458877563477,-5.191337585449219,-5.182313919067383,1.0167804,1.5011561
63,-26.28156089782715,1.0,-5.237915515899658,-5.235504627227783,-5.237786769866943,0.47471264,0.7572311
64,-7.521260738372803,1.0,-5.173206329345703,-5.177031993865967,-5.173058032989502,1.2241162,1.0475516
65,94.94407653808594,1.0,-6.087268352508545,-6.085403919219971,-6.087393760681152,1.5805055,1.3683642
66,-85.08272552490234,1.0,-5.90611457824707,-5.889545917510986,-5.906186103820801,1.8965292,1.6225848
67,-46.87237548828125,1.0,-5.3916192054748535,-5.382232189178467,-5.391536712646484,0.9570173,0.9681277
68,46.397762298583984,1.0,-5.387102127075195,-5.398272514343262,-5.387018203735352,0.77314013,1.5607363
69,112.6729507446289,1.0,-6.46286153793335,-6.452948570251465,-6.463099956512451,2.435096,1.5570601
70,83.20433807373047,1.0,-5.873858451843262,-5.876638412475586,-5.873920440673828,1.2647215,1.4628333
71,-11.924935340881348,1.0,-5.181944370269775,-5.184387683868408,-5.181798934936523,1.2890168,1.2520247
72,-10.448787689208984,1.0,-5.178574085235596,-5.181488513946533,-5.178427696228027,1.2871224,1.709157
73,-53.33045196533203,1.0,-5.457651615142822,-5.446324348449707,-5.457589149475098,1.6622651,1.2589729
74,-56.837379455566406,1.0,-5.49707555770874,-5.484781742095947,-5.4970245361328125,1.4596579,0.7498711
75,88.61393737792969,1.0,-5.96870231628418,-5.969432353973389,-5.96879243850708,1.2840183,1.2797827
76,-114.67977142333984,1.0,-6.509418487548828,-6.498794078826904,-6.509670734405518,2.124987,1.8296157
77,28.714881896972656,1.0,-5.251570701599121,-5.262749671936035,-5.25144624710083,1.3828858,0.71615684
78,44.662471771240234,1.0,-5.370978355407715,-5.38226842880249,-5.370889663696289,0.35803676,0.8213107
79,76.34925079345703,1.0,-5.762250900268555,-5.767370700836182,-5.762279510498047,1.3204674,1.4004766
80,2.6281797885894775,1.0,-5.16813850402832,-5.1748366355896,-5.167989253997803,1.2424157,1.1820985
81,-72.15354919433594,1.0,-5.698671817779541,-5.683150768280029,-5.698681354522705,1.6896937,1.7808224
82,-76.88822174072266,1.0,-5.770678520202637,-5.754567623138428,-5.77070951461792,1.8898689,1.170486
83,-41.07740783691406,1.0,-5.3396124839782715,-5.3321051597595215,-5.33951473236084,1.3588687,0.9986009
84,50.06829833984375,1.0,-5.4232330322265625,-5.43406343460083,-5.423160076141357,1.4876059,1.2390438
85,-122.78773498535156,1.0,-6.705885410308838,-6.699427604675293,-6.7061967849731445,2.3670478,1.7912606
86,36.75355529785156,1.0,-5.305273056030273,-5.316779136657715,-5.305164337158203,1.3849595,1.3656248
87,13.790570259094238,1.0,-5.186840057373047,-5.196039199829102,-5.1866960525512695,1.2255763,0.97113353
88,-96.1292724609375,1.0,-6.110376358032227,-6.094501495361328,-6.110508918762207,1.5757416,1.771947
89,123.02918243408203,1.0,-6.711941719055176,-6.6971049308776855,-6.712254524230957,3.0179133,1.0657792
90,-67.06471252441406,1.0,-5.626380443572998,-5.6117262840271,-5.626368045806885,0.1825207,-0.07457477
91,14.493426322937012,1.0,-5.188868522644043,-5.198197841644287,-5.188724994659424,0.17189312,0.60258067
92,-37.779788970947266,1.0,-5.313077926635742,-5.306681156158447,-5.312971591949463,0.8549575,0.4021089
93,30.559730529785156,1.0,-5.262729167938232,-5.274031162261963,-5.262608051300049,0.3064543,0.41258112
94,116.45408630371094,1.0,-6.551265716552734,-6.53955602645874,-6.551530838012695,2.0053344,1.2940269
95,41.51372528076172,1.0,-5.343289852142334,-5.35473108291626,-5.3431925773620605,1.408951,1.1756543
96,-23.34345817565918,1.0,-5.2230377197265625,-5.221647262573242,-5.222904682159424,0.93939674,1.477628
97,34.25932312011719,1.0,-5.287199020385742,-5.298662185668945,-5.28708553314209,1.6081204,1.0565534
98,51.82659149169922,1.0,-5.44151496887207,-5.452140808105469,-5.4414472579956055,-0.3232568,1.1505374
99,-78.2118911743164,1.0,-5.791627883911133,-5.775392532348633,-5.791665077209473,1.5561266,0.99461395
100,99.03018951416016,1.0,-6.168145656585693,-6.164511680603027,-6.168295860290527,0.794637,1.5814314
101,43.11012649536133,1.0,-5.357074737548828,-5.368450164794922,-5.3569817543029785,0.40790904,1.5186479
102,21.692264556884766,1.0,-5.215449333190918,-5.2259087562561035,-5.215313911437988,1.2141098,1.2630134
103,163.23477172851562,1.0,-7.886371612548828,-7.855808258056641,-7.887036323547363,2.9855385,0.4888795
104,195.71539306640625,1.0,-9.076057434082031,-9.044149398803711,-9.077078819274902,4.6905293,1.207898
105,-130.38255310058594,1.0,-6.902087688446045,-6.900688171386719,-6.9024577140808105,2.893091,1.9024642
106,-20.739084243774414,1.0,-5.21132230758667,-5.21082878112793,-5.211185932159424,0.6884724,1.601336
107,67.33926391601562,1.0,-5.63014554977417,-5.63784122467041,-5.630134582519531,-0.9229715,-0.24141394
108,-19.982240676879883,1.0,-5.20817756652832,-5.207942962646484,-5.208040237426758,1.4324118,1.556088
109,-40.725677490234375,1.0,-5.336676597595215,-5.329286575317383,-5.336577415466309,1.1033708,1.3085821
110,44.0494270324707,1.0,-5.365428924560547,-5.376755237579346,-5.365338325500488,0.79822564,0.74585694
111,34.828182220458984,1.0,-5.291209697723389,-5.302687168121338,-5.2910966873168945,0.31332234,0.9892966
112,145.30178833007812,1.0,-7.321781635284424,-7.29707670211792,-7.322277069091797,1.887886,-0.17950471
113,-2.431530475616455,1.0,-5.168036937713623,-5.173364639282227,-5.1678876876831055,0.2643437,1.3596479
114,-24.209041595458984,1.0,-5.227237701416016,-5.2255473136901855,-5.227105617523193,0.4589126,1.2926587
115,32.464385986328125,1.0,-5.274978160858154,-5.286377429962158,-5.274860858917236,-0.13813697,0.29311526
116,-20.991432189941406,1.0,-5.21239709854126,-5.211816787719727,-5.212260723114014,1.3931528,1.3802818
117,-48.1854248046875,1.0,-5.404355525970459,-5.394559383392334,-5.4042768478393555,1.6818081,1.4287328
118,-54.70683670043945,1.0,-5.472825527191162,-5.4611101150512695,-5.472766876220703,-0.6990007,-0.75925547
119,-26.561283111572266,1.0,-5.239423751831055,-5.236915111541748,-5.239295482635498,1.372026,1.0441946
120,-2.212188243865967,1.0,-5.167932987213135,-5.173322677612305,-5.167783737182617,1.1824089,1.4317664
121,-62.6046028137207,1.0,-5.567366123199463,-5.553648471832275,-5.567336082458496,1.4899049,1.4452076
122,-53.39348220825195,1.0,-5.458338260650635,-5.44699239730835,-5.45827579498291,1.2293198,1.3685272
123,-138.25494384765625,1.0,-7.117885589599609,-7.122992038726807,-7.118320465087891,2.5600998,0.7684276
124,-74.862060546875,1.0,-5.739304065704346,-5.723418235778809,-5.739325523376465,1.7324748,1.2841069
125,96.42003631591797,1.0,-6.116089344024658,-6.113593101501465,-6.116223335266113,1.4568883,0.3395941
126,79.16617584228516,1.0,-5.806952476501465,-5.811147689819336,-5.806994438171387,1.3021795,1.6195353
127,4.5757527351379395,1.0,-5.169570446014404,-5.176759243011475,-5.169421195983887,0.48898682,0.7316154
128,21.44036102294922,1.0,-5.214340686798096,-5.224767208099365,-5.214205265045166,0.058597937,0.13345028
129,-73.48234558105469,1.0,-5.718419075012207,-5.702709674835205,-5.7184343338012695,1.731326,1.5083575
130,-42.95289993286133,1.0,-5.35569429397583,-5.347566604614258,-5.355600833892822,0.9610231,1.0499737
131,-51.392494201660156,1.0,-5.4369425773620605,-5.426177024841309,-5.436873912811279,1.4421458,1.6445419
132,-54.130428314208984,1.0,-5.466423988342285,-5.454869747161865,-5.466363906860352,-0.4530477,0.25992966
133,-22.074344635009766,1.0,-5.217155933380127,-5.216203689575195,-5.2170209884643555,1.2594258,1.5193828
134,-7.935454368591309,1.0,-5.173859596252441,-5.177557945251465,-5.173711776733398,0.80042076,0.68500525
135,5.090843200683594,1.0,-5.170078277587891,-5.177393913269043,-5.169929504394531,1.2755637,1.5346943
136,42.58530044555664,1.0,-5.352485656738281,-5.363884449005127,-5.352391242980957,-1.0377988,0.79651
137,73.98617553710938,1.0,-5.7260003089904785,-5.731853008270264,-5.726017951965332,1.8265765,1.018109
138,-55.66530990600586,1.0,-5.4836201667785645,-5.471641540527344,-5.483565330505371,1.1626967,1.8901329
139,32.317745208740234,1.0,-5.274008750915527,-5.285401821136475,-5.273890972137451,1.4282987,1.4654503
140,3.1469554901123047,1.0,-5.1684441566467285,-5.1752753257751465,-5.168294906616211,-0.87263834,1.5806063
141,112.8060302734375,1.0,-6.465923309326172,-6.455947399139404,-6.46616268157959,1.8698214,1.6303835
142,-81.12517547607422,1.0,-5.83899450302124,-5.82255220413208,-5.839045524597168,1.4506655,1.0956895
