id,prior_position,prior_time,prior:smax_gaussian,prior:convolved_data,integrand:TotalIntegrand,integrand:FlowIntegrand
0,11.102700233459473,1.0,-5.180012226104736,-5.188681602478027,1.5051497,0.32959023
1,-66.03112030029297,1.0,-5.612342834472656,-5.597891807556152,3.4079692,1.4306306
2,-63.56118392944336,1.0,-5.579680919647217,-5.5657501220703125,1.9416249,0.81452924
3,-13.605417251586914,1.0,-5.186322212219238,-5.188220977783203,-0.034969583,0.086769566
4,-59.51470184326172,1.0,-5.528862476348877,-5.515880107879639,2.406934,1.6172092
5,37.45692825317383,1.0,-5.310599327087402,-5.322108268737793,2.069518,1.0374457
6,16.35292625427246,1.0,-5.194721221923828,-5.204379081726074,2.4726748,0.9793041
7,-109.41365814208984,1.0,-6.388999938964844,-6.376308917999268,2.121131,0.9038098
8,-30.138376235961914,1.0,-5.260119438171387,-5.256363868713379,3.4305012,1.9141774
9,26.474267959594727,1.0,-5.23895263671875,-5.249944686889648,1.9147785,1.1698189
10,32.10215759277344,1.0,-5.272591590881348,-5.283974647521973,1.3662093,0.6691108
11,-62.528602600097656,1.0,-5.5663957595825195,-5.552695274353027,2.7440832,1.2622881
12,-92.75762939453125,1.0,-6.045390605926514,-6.029130458831787,3.3288324,1.4891506
13,139.11936950683594,1.0,-7.142352104187012,-7.120189666748047,3.6751554,1.1319313
14,-8.104546546936035,1.0,-5.174136161804199,-5.177783012390137,2.087371,0.670957
15,-74.56493377685547,1.0,-5.734773635864258,-5.718924045562744,2.9160366,1.2029324
16,39.23932647705078,1.0,-5.324548721313477,-5.336045265197754,1.4764562,1.0908791
17,-1.2235463857650757,1.0,-5.167586326599121,-5.173253059387207,2.6055377,1.4283528
18,-22.837759017944336,1.0,-5.220654487609863,-5.219438552856445,2.4405634,1.2561722
19,0.6198585033416748,1.0,-5.167472839355469,-5.173642635345459,1.8156506,1.0796708
20,2.4707629680633545,1.0,-5.168056488037109,-5.174714088439941,0.79202604,1.7557843
21,56.10966110229492,1.0,-5.4886884689331055,-5.498705863952637,1.3590041,0.3517153
22,14.833420753479004,1.0,-5.18988561630249,-5.199277400970459,1.6459523,1.2958008
23,-79.03240203857422,1.0,-5.804792881011963,-5.788490295410156,3.5575788,1.7979082
24,57.7760124206543,1.0,-5.508052825927734,-5.517791748046875,2.544219,1.266055
25,-41.930030822753906,1.0,-5.346834659576416,-5.339044094085693,1.2779999,0.8648808
26,-61.616329193115234,1.0,-5.554839134216309,-5.5413498878479,2.76058,0.9578088
27,30.489744186401367,1.0,-5.262293338775635,-5.273591041564941,2.0692093,0.76585066
28,-132.7034912109375,1.0,-6.964394569396973,-6.964776039123535,4.2117314,1.4078912
29,83.45267486572266,1.0,-5.878081798553467,-5.880771160125732,0.8855747,1.4148254
30,-39.030914306640625,1.0,-5.3228840827941895,-5.316063404083252,0.20160916,0.26607582
31,-106.2796859741211,1.0,-6.3200225830078125,-6.306326866149902,2.830066,0.7734796
32,-53.87165451049805,1.0,-5.463572025299072,-5.452090740203857,1.7642592,1.2802479
33,-100.49722290039062,1.0,-6.198014259338379,-6.182883262634277,1.0826111,0.26284707
34,-108.79072570800781,1.0,-6.375129699707031,-6.3622260093688965,2.9621022,0.82288027
35,-72.58088684082031,1.0,-5.704983234405518,-5.689399719238281,1.0441921,1.4146116
36,18.76017189025879,1.0,-5.203346252441406,-5.2133917808532715,0.06698186,0.29216883
37,-12.286016464233398,1.0,-5.182836532592773,-5.185163974761963,1.8727273,0.42974943
38,-4.701407432556152,1.0,-5.169689178466797,-5.174361228942871,1.8378396,1.130644
39,55.66792297363281,1.0,-5.483649730682373,-5.49373722076416,3.1181736,1.3410238
40,-94.26377868652344,1.0,-6.07413387298584,-6.05802583694458,3.4707143,1.6270285
41,157.15330505371094,1.0,-7.687552452087402,-7.65867280960083,4.9699526,1.147367
42,30.602375030517578,1.0,-5.262995719909668,-5.2743000984191895,1.174986,1.1812583
43,-0.9398069381713867,1.0,-5.1675238609313965,-5.173269271850586,-1.4819876,-0.46053156
44,16.656625747680664,1.0,-5.195744037628174,-5.205452919006348,2.911617,1.80034
45,10.19643497467041,1.0,-5.178042411804199,-5.186522960662842,1.9684104,1.0224872
46,-28.426193237304688,1.0,-5.249887466430664,-5.246728897094727,1.5957052,1.2510629
47,-67.1073226928711,1.0,-5.6269636154174805,-5.612301349639893,3.3616533,1.7094145
48,26.983753204345703,1.0,-5.241732120513916,-5.25277042388916,1.8628078,1.3283712
49,-26.266759872436523,1.0,-5.237835884094238,-5.2354302406311035,2.4276369,1.0250193
50,58.15353775024414,1.0,-5.512518882751465,-5.522191047668457,0.18046838,1.5806501
51,38.957664489746094,1.0,-5.322300910949707,-5.33380126953125,3.0447083,1.3850964
52,16.045101165771484,1.0,-5.193703651428223,-5.203308582305908,1.194991,1.6839617
53,16.18524169921875,1.0,-5.194164752960205,-5.203793525695801,2.6799328,1.4569142
54,-20.781219482421875,1.0,-5.211501121520996,-5.210992813110352,1.3246737,0.30092907
55,-1.7616771459579468,1.0,-5.167750358581543,-5.173266887664795,2.3131127,1.5194387
56,29.752243041992188,1.0,-5.257760047912598,-5.269011497497559,1.0108511,0.60839283
57,-109.58174133300781,1.0,-6.39275598526001,-6.380123615264893,3.4909315,0.95776707
58,101.64409637451172,1.0,-6.221670627593994,-6.216872215270996,2.6820436,1.4911339
59,-93.3919448852539,1.0,-6.05743932723999,-6.041239261627197,3.1896737,1.2642801
60,-77.11166381835938,1.0,-5.7741899490356445,-5.758056163787842,2.8939567,1.5190334
61,-31.649526596069336,1.0,-5.269647121429443,-5.265365123748779,1.4678277,0.37305745
62,12.134538650512695,1.0,-5.182458877563477,-5.191337585449219,2.4928176,1.4970943
63,-26.28156089782715,1.0,-5.237915515899658,-5.235504627227783,1.1585248,0.7567782
64,-7.521260738372803,1.0,-5.173206329345703,-5.177031993865967,2.25651,1.0426762
65,94.94407653808594,1.0,-6.087268352508545,-6.085403919219971,2.8819985,1.3650287
66,-85.08272552490234,1.0,-5.90611457824707,-5.889545917510986,3.5780845,1.6179348
67,-46.87237548828125,1.0,-5.3916192054748535,-5.382232189178467,1.7873042,0.96407264
68,46.397762298583984,1.0,-5.387102127075195,-5.398272514343262,2.299193,1.5574335
69,112.6729507446289,1.0,-6.46286153793335,-6.452948570251465,3.9894965,1.5482746
70,83.20433807373047,1.0,-5.873858451843262,-5.876638412475586,2.64557,1.4587901
71,-11.924935340881348,1.0,-5.181944370269775,-5.184387683868408,2.4636986,1.2421465
72,-10.448787689208984,1.0,-5.178574085235596,-5.181488513946533,2.9132845,1.704216
73,-53.33045196533203,1.0,-5.457651615142822,-5.446324348449707,2.8153982,1.2491119
74,-56.837379455566406,1.0,-5.49707555770874,-5.484781742095947,2.215308,0.7400912
75,88.61393737792969,1.0,-5.96870231628418,-5.969432353973389,2.4350138,1.2725588
76,-114.67977142333984,1.0,-6.509418487548828,-6.498794078826904,3.9374814,1.8255346
77,28.714881896972656,1.0,-5.251570701599121,-5.262749671936035,1.9817388,0.7068431
78,44.662471771240234,1.0,-5.370978355407715,-5.38226842880249,1.2666976,0.81842595
79,76.34925079345703,1.0,-5.762250900268555,-5.767370700836182,2.6931329,1.3972325
80,2.6281797885894775,1.0,-5.16813850402832,-5.1748366355896,2.370873,1.1772372
81,-72.15354919433594,1.0,-5.698671817779541,-5.683150768280029,3.6868544,1.776021
82,-76.88822174072266,1.0,-5.770678520202637,-5.754567623138428,3.0209718,1.1611298
83,-41.07740783691406,1.0,-5.3396124839782715,-5.3321051597595215,2.3521612,0.99376315
84,50.06829833984375,1.0,-5.4232330322265625,-5.43406343460083,2.622403,1.2300202
85,-122.78773498535156,1.0,-6.705885410308838,-6.699427604675293,4.042982,1.7870991
86,36.75355529785156,1.0,-5.305273056030273,-5.316779136657715,2.8309884,1.3607793
87,13.790570259094238,1.0,-5.186840057373047,-5.196039199829102,2.3345442,0.96636057
88,-96.1292724609375,1.0,-6.110376358032227,-6.094501495361328,3.3304536,1.7680361
89,123.02918243408203,1.0,-6.711941719055176,-6.6971049308776855,4.1023903,1.0561557
90,-67.06471252441406,1.0,-5.626380443572998,-5.6117262840271,0.087000206,-0.06203531
91,14.493426322937012,1.0,-5.188868522644043,-5.198197841644287,0.8029173,0.5967867
92,-37.779788970947266,1.0,-5.313077926635742,-5.306681156158447,1.4206549,0.3989214
93,30.559730529785156,1.0,-5.262729167938232,-5.274031162261963,0.6691191,0.41316122
94,116.45408630371094,1.0,-6.551265716552734,-6.53955602645874,3.2681134,1.2907029
95,41.51372528076172,1.0,-5.343289852142334,-5.35473108291626,2.6368065,1.1666305
96,-23.34345817565918,1.0,-5.2230377197265625,-5.221647262573242,2.591971,1.4734668
97,34.25932312011719,1.0,-5.287199020385742,-5.298662185668945,2.4400506,1.0466485
98,51.82659149169922,1.0,-5.44151496887207,-5.452140808105469,0.8005295,1.1483498
99,-78.2118911743164,1.0,-5.791627883911133,-5.775392532348633,2.53458,0.99025553
100,99.03018951416016,1.0,-6.168145656585693,-6.164511680603027,2.3605735,1.5789593
101,43.11012649536133,1.0,-5.357074737548828,-5.368450164794922,1.9068369,1.515667
102,21.692264556884766,1.0,-5.215449333190918,-5.2259087562561035,2.4745042,1.2540251
103,163.23477172851562,1.0,-7.886371612548828,-7.855808258056641,3.210629,0.48170304
104,195.71539306640625,1.0,-9.076057434082031,-9.044149398803711,6.0120664,1.2046628
105,-130.38255310058594,1.0,-6.902087688446045,-6.900688171386719,4.6012487,1.897817
106,-20.739084243774414,1.0,-5.21132230758667,-5.21082878112793,2.3965545,1.5991467
107,67.33926391601562,1.0,-5.63014554977417,-5.63784122467041,-1.0632391,-0.22315992
108,-19.982240676879883,1.0,-5.20817756652832,-5.207942962646484,2.876117,1.5462929
109,-40.725677490234375,1.0,-5.336676597595215,-5.329286575317383,2.525415,1.3048332
110,44.0494270324707,1.0,-5.365428924560547,-5.376755237579346,1.4878904,0.74362737
111,34.828182220458984,1.0,-5.291209697723389,-5.302687168121338,1.2867324,0.9856249
112,145.30178833007812,1.0,-7.321781635284424,-7.29707670211792,1.6115326,-0.167652
113,-2.431530475616455,1.0,-5.168036937713623,-5.173364639282227,1.6054151,1.3544428
114,-24.209041595458984,1.0,-5.227237701416016,-5.2255473136901855,1.7148706,1.2894995
115,32.464385986328125,1.0,-5.274978160858154,-5.286377429962158,0.039876163,0.3061625
116,-20.991432189941406,1.0,-5.21239709854126,-5.211816787719727,2.721054,1.3705539
117,-48.1854248046875,1.0,-5.404355525970459,-5.394559383392334,3.1248667,1.4192559
118,-54.70683670043945,1.0,-5.472825527191162,-5.4611101150512695,-1.1711047,-0.75898534
119,-26.561283111572266,1.0,-5.239423751831055,-5.236915111541748,2.363431,1.0393008
120,-2.212188243865967,1.0,-5.167932987213135,-5.173322677612305,2.63757,1.4248877
121,-62.6046028137207,1.0,-5.567366123199463,-5.553648471832275,2.8560627,1.4407086
122,-53.39348220825195,1.0,-5.458338260650635,-5.44699239730835,2.5796497,1.3641737
123,-138.25494384765625,1.0,-7.117885589599609,-7.122992038726807,3.488916,0.7653494
124,-74.862060546875,1.0,-5.739304065704346,-5.723418235778809,3.1147797,1.2791574
