id,prior_position,prior_time,prior:smax_gaussian,prior:convolved_data,integrand:TotalIntegrand,integrand:FlowIntegrand
0,11.102700233459473,1.0,-5.180012226104736,-5.188681602478027,1.0362968,0.33295318
1,-66.03112030029297,1.0,-5.612342834472656,-5.597891807556152,1.6628022,1.4427618
2,-63.56118392944336,1.0,-5.579680919647217,-5.5657501220703125,1.1058741,0.81818926
3,-13.605417251586914,1.0,-5.186322212219238,-5.188220977783203,-0.17954573,0.069494806
4,-59.51470184326172,1.0,-5.528862476348877,-5.515880107879639,0.5873971,1.6217694
5,37.45692825317383,1.0,-5.310599327087402,-5.322108268737793,0.74796015,1.0411644
6,16.35292625427246,1.0,-5.194721221923828,-5.204379081726074,1.2095755,0.99490094
7,-109.41365814208984,1.0,-6.388999938964844,-6.376308917999268,0.8680621,0.88819784
8,-30.138376235961914,1.0,-5.260119438171387,-5.256363868713379,1.135188,1.9196748
9,26.474267959594727,1.0,-5.23895263671875,-5.249944686889648,0.6486851,1.1736289
10,32.10215759277344,1.0,-5.272591590881348,-5.283974647521973,0.65031105,0.674776
11,-62.528602600097656,1.0,-5.5663957595825195,-5.552695274353027,1.3337312,1.2700062
12,-92.75762939453125,1.0,-6.045390605926514,-6.029130458831787,1.8095005,1.4951465
13,139.11936950683594,1.0,-7.142352104187012,-7.120189666748047,2.598562,1.1356117
14,-8.104546546936035,1.0,-5.174136161804199,-5.177783012390137,1.2377894,0.67653334
15,-74.56493377685547,1.0,-5.734773635864258,-5.718924045562744,1.4469761,1.2111374
16,39.23932647705078,1.0,-5.324548721313477,-5.336045265197754,0.2406197,1.0948302
17,-1.2235463857650757,1.0,-5.167586326599121,-5.173253059387207,1.1465819,1.4342729
18,-22.837759017944336,1.0,-5.220654487609863,-5.219438552856445,1.1005948,1.2700312
19,0.6198585033416748,1.0,-5.167472839355469,-5.173642635345459,0.57592696,1.083582
20,2.4707629680633545,1.0,-5.168056488037109,-5.174714088439941,-0.90565044,1.7594211
21,56.10966110229492,1.0,-5.4886884689331055,-5.498705863952637,0.94431376,0.35622934
22,14.833420753479004,1.0,-5.18988561630249,-5.199277400970459,0.45388466,1.3056804
23,-79.03240203857422,1.0,-5.804792881011963,-5.788490295410156,1.7457261,1.8036765
24,57.7760124206543,1.0,-5.508052825927734,-5.517791748046875,1.2191075,1.279594
25,-41.930030822753906,1.0,-5.346834659576416,-5.339044094085693,0.2843017,0.8631627
26,-61.616329193115234,1.0,-5.554839134216309,-5.5413498878479,1.6127445,0.9703017
27,30.489744186401367,1.0,-5.262293338775635,-5.273591041564941,1.2640271,0.77707225
28,-132.7034912109375,1.0,-6.964394569396973,-6.964776039123535,2.7753534,1.4132106
29,83.45267486572266,1.0,-5.878081798553467,-5.880771160125732,-0.55030996,1.4169399
30,-39.030914306640625,1.0,-5.3228840827941895,-5.316063404083252,-0.17302078,0.24846329
31,-106.2796859741211,1.0,-6.3200225830078125,-6.306326866149902,1.6598746,0.778409
32,-53.87165451049805,1.0,-5.463572025299072,-5.452090740203857,0.2829647,1.2872466
33,-100.49722290039062,1.0,-6.198014259338379,-6.182883262634277,0.9699796,0.25020006
34,-108.79072570800781,1.0,-6.375129699707031,-6.3622260093688965,2.0513384,0.8274564
35,-72.58088684082031,1.0,-5.704983234405518,-5.689399719238281,-0.5237725,1.4169554
36,18.76017189025879,1.0,-5.203346252441406,-5.2133917808532715,-0.04909743,0.29570967
37,-12.286016464233398,1.0,-5.182836532592773,-5.185163974761963,0.9665826,0.43684396
