id,prior_position,prior_time,prior:smax_gaussian,prior:convolved_data,prior:estimated_data,integrand:TotalIntegrand,integrand:FlowIntegrand
31_r0,47.27463912963867,1.0,-5.39548397064209,-5.406583309173584,-5.395402431488037,1.0871756,0.79480237
32_r0,44.95391845703125,1.0,-5.373643398284912,-5.384914875030518,-5.373555660247803,0.2480263,1.2538973
33_r0,13.720771789550781,1.0,-5.186644077301025,-5.195830345153809,-5.186500072479248,0.14600985,0.048700664
34_r0,11.39570426940918,1.0,-5.180685043334961,-5.1894145011901855,-5.180539131164551,0.82350284,1.1701504
35_r0,90.50363159179688,1.0,-6.003240585327148,-6.003216743469238,-6.003341197967529,-0.09066418,1.1498605
36_r0,70.1986312866211,1.0,-5.6702752113342285,-5.677218437194824,-5.670276165008545,0.49176815,0.6996717
37_r0,172.7825469970703,1.0,-8.213741302490234,-8.181318283081055,-8.214503288269043,3.686483,0.73899615
38_r0,69.51789855957031,1.0,-5.66057014465332,-5.667698383331299,-5.6605682373046875,1.1544714,1.1820773
39_r0,32.060882568359375,1.0,-5.272321701049805,-5.283702373504639,-5.272202968597412,1.2173755,0.7828632
40_r0,70.44692993164062,1.0,-5.6738386154174805,-5.680713653564453,-5.6738409996032715,1.6678271,1.4034536
41_r0,-23.209999084472656,1.0,-5.222403526306152,-5.221059322357178,-5.222270488739014,1.313178,1.5130719
42_r0,41.34068298339844,1.0,-5.341826915740967,-5.353273868560791,-5.341729164123535,-0.2085109,1.3148761
43_r0,72.0108871459961,1.0,-5.696573257446289,-5.703007698059082,-5.696581840515137,-0.6497141,0.36814982
44_r0,-27.338003158569336,1.0,-5.2436957359313965,-5.240916728973389,-5.2435688972473145,1.2751484,1.6936728
45_r0,51.4848747253418,1.0,-5.437912464141846,-5.448580265045166,-5.4378437995910645,0.7952535,1.2062272
46_r0,-110.68090057373047,1.0,-6.4174604415893555,-6.405222415924072,-6.417685031890869,1.4098959,1.6167791
47_r0,-161.9611358642578,1.0,-7.844108581542969,-7.8773393630981445,-7.844759941101074,3.9507513,1.8475155
48_r0,10.905906677246094,1.0,-5.179570198059082,-5.188199043273926,-5.179424285888672,0.6658848,1.4230412
49_r0,-206.44993591308594,1.0,-9.516573905944824,-9.642415046691895,-9.51772689819336,5.7252483,1.5262697
50_r0,116.72357177734375,1.0,-6.557677745819092,-6.545839786529541,-6.557944297790527,-0.46751946,1.6585826
51_r0,64.05662536621094,1.0,-5.586133003234863,-5.594613075256348,-5.586108684539795,1.771384,1.4307103
52_r0,-26.824462890625,1.0,-5.2408576011657715,-5.23825740814209,-5.240729808807373,-0.4816469,1.5294552
53_r0,47.98291778564453,1.0,-5.402368545532227,-5.413405895233154,-5.402288913726807,1.332019,1.4869674
54_r0,-30.890087127685547,1.0,-5.264801025390625,-5.2607831954956055,-5.2646803855896,1.004219,1.1750137
55_r0,-59.10588836669922,1.0,-5.523913860321045,-5.51103401184082,-5.523870944976807,0.90675175,1.1750503
56_r0,16.318584442138672,1.0,-5.194606781005859,-5.204258441925049,-5.194465160369873,0.16688591,0.8002383
57_r0,-22.83830451965332,1.0,-5.220656871795654,-5.2194414138793945,-5.220523357391357,1.4462951,1.3544632
58_r0,20.18128776550293,1.0,-5.208993434906006,-5.219247341156006,-5.208856105804443,0.41864476,1.0445095
59_r0,-172.9295654296875,1.0,-8.218927383422852,-8.269896507263184,-8.219691276550293,4.2870255,1.6591619
60_r0,-93.04925537109375,1.0,-6.050920009613037,-6.03468656539917,-6.051034927368164,1.6654928,0.94721663
61_r0,49.31312561035156,1.0,-5.41557502746582,-5.42648458480835,-5.415499687194824,1.1042542,1.3508948
62_r0,-34.89693069458008,1.0,-5.291698455810547,-5.286290645599365,-5.291585922241211,1.0910361,1.1613191
63_r0,3.008923053741455,1.0,-5.1683573722839355,-5.175153732299805,-5.168208122253418,0.27753115,0.6635434
0_r1,-28.143672943115234,1.0,-5.248256683349609,-5.24519681930542,-5.248131275177002,1.1906321,1.2513568
1_r1,83.58032989501953,1.0,-5.880257606506348,-5.882900238037109,-5.880321025848389,1.6257921,0.45795733
2_r1,27.282907485961914,1.0,-5.243388652801514,-5.254452705383301,-5.243261337280273,0.8177646,1.3700379
3_r1,-48.62737274169922,1.0,-5.408721446990967,-5.398788928985596,-5.408644199371338,0.072427906,0.31086105
4_r1,16.630306243896484,1.0,-5.19565486907959,-5.20535945892334,-5.195513725280762,0.30838037,1.5781416
5_r1,-12.925233840942383,1.0,-5.184480667114258,-5.186601161956787,-5.184336185455322,0.7675967,0.5997799
6_r1,174.59722900390625,1.0,-8.27806568145752,-8.24541187286377,-8.278847694396973,4.4720693,1.2083304
7_r1,-29.236923217773438,1.0,-5.254658222198486,-5.251216411590576,-5.2545342445373535,-0.14600474,-0.013179289
8_r1,93.95214080810547,1.0,-6.068148612976074,-6.066702842712402,-6.068268775939941,2.090093,1.4936264
9_r1,50.422218322753906,1.0,-5.4268622398376465,-5.437653541564941,-5.426790237426758,0.9562702,1.2024727
10_r1,-61.90375518798828,1.0,-5.558461666107178,-5.544905185699463,-5.55842924118042,0.9809347,0.83791417
11_r1,-61.334041595458984,1.0,-5.551297664642334,-5.537874698638916,-5.551262855529785,1.3557618,1.5817274
